"CL_15Rnf/S5 (Theatre S5)","Monday, 15/10/2018",1600 hrs
"Cl_20Chn/H5 (Menzies, Theatre H5)","Wednesday, 17/10/2018",1500 hrs
"Cl_20Chn/H5 (Menzies, Theatre H5)","Wednesday, 17/10/2018",1600 hrs
"CL_15Rnf/S5 (Theatre S5)","Monday, 15/10/2018",1600 hrs
"Cl_20Chn/H5 (Menzies, Theatre H5)","Wednesday, 17/10/2018",1700 hrs
